AreaShape_MajorAxisLength,AreaShape_MinorAxisLength,Major/Minor,strain,plasmid
62.800039670287525,52.172295410281,1.2037047474417282,BY4741,delta
80.15257426880781,60.690586896495624,1.3206755506501118,BY4741,delta
42.674580328392395,37.36875038888503,1.1419857470290344,BY4741,delta
55.88348681833224,46.19458629866486,1.2097410388530183,BY4741,delta
73.18349572517367,58.98434092023152,1.2407275318061894,BY4741,delta
46.59213620777875,40.70766645910915,1.1445543373158114,BY4741,delta
59.50890343594703,53.66465330050093,1.1089031564728575,BY4741,delta
68.03751462525535,62.69205988308971,1.085265259302917,BY4741,delta
40.67764298019142,35.9029381561478,1.1329892501632497,BY4741,delta
52.41723912391451,48.10423408747652,1.0896595719327926,BY4741,delta
58.541499003214234,50.20478192091854,1.1660542435066743,BY4741,delta
35.04622788288857,34.83275681583749,1.0061284574224116,BY4741,delta
46.006819247359466,40.03161689335153,1.149262078769551,BY4741,delta
63.360674871694734,41.85959855892396,1.513647456090737,BY4741,delta
78.6909117827667,55.307767983757415,1.422782271847896,BY4741,delta
61.43015396951311,46.33722643258005,1.325719269341531,BY4741,delta
70.53553126612479,56.19497851801191,1.2551927792536903,BY4741,delta
