Gene ID,Vector_1,Vector_2,Vector_3,EGFP_1,EGFP_2,EGFP_3,PolyD_1,PolyD_2,PolyD_3,PolyE_1,PolyE_2,PolyE_3
YDR181C,17.462236,15.527858,22.52054,16.514938,15.776391,11.447101,16.198318,18.388157,17.546267,11.890988,17.012276,14.531933
YDR182W,60.490047,53.910419,71.257889,72.64386,65.616585,58.502716,70.266319,66.745316,65.121552,61.18047,67.727798,64.021019
YDR182W-A,7.581843,5.079995,7.335588,4.460604,5.402316,5.393619,7.035844,5.023887,6.895132,5.374592,6.095305,5.777732
YDR183C-A,6.481103,6.648232,6.055139,8.446931,8.055474,4.269491,12.962882,8.874619,8.437981,8.387591,7.960286,11.70465
YDR183W,31.344112,29.486252,30.499678,21.375837,19.559563,18.178789,24.958906,24.347309,22.957876,17.496719,23.078329,21.875261
YDR184C,41.421978,35.449097,29.811901,45.19215,43.947739,30.905621,41.090633,42.617161,38.556103,30.186451,49.434731,44.953648
YDR185C,39.13834,38.251865,39.129677,31.836765,27.461199,29.524136,40.477085,36.74192,32.893532,33.988079,37.624527,32.935001
YDR186C,44.86961,42.025967,47.325031,59.645309,51.641335,42.787174,49.07198,47.839832,48.390831,36.959076,48.375126,41.872974
YDR187C,43.36882,39.994076,33.040207,36.032162,31.343084,23.685072,32.693348,34.647053,32.428696,29.27297,35.420105,30.438234
YDR188W,159.242508,178.348816,155.910812,159.600388,144.674301,123.620674,148.634644,154.729584,149.159653,135.805588,163.922974,148.395416
YDR189W,44.268944,43.924526,49.789242,43.068264,40.127449,31.275581,37.05341,38.252647,38.753201,34.705677,40.434216,38.972038
YDR190C,122.218857,127.555923,127.88179,96.780991,83.486496,72.812119,99.742226,102.434273,98.626945,91.533356,105.580238,99.286949
YDR191W,15.104298,12.052567,19.788813,17.977131,15.53583,15.483295,16.446394,16.454105,15.200065,14.927678,19.434278,14.301321
YDR192C,29.955889,27.757586,27.811035,29.124763,28.183691,20.863886,24.907583,25.809603,26.539753,21.56601,27.710186,23.331821
YDR193W,8.977369,10.038215,8.088773,7.528402,6.222508,7.789064,5.830691,8.132653,4.569799,5.109941,5.777157,5.408071
YDR194C,44.420055,39.260376,49.473846,53.059315,45.300358,38.100498,38.680656,40.653786,35.993652,34.065254,42.837204,42.349533
YDR194W-A,0.42832,0.242187,0.86152,0.309925,0.765328,0.230101,0.798644,0.293629,0.095348,0.061428,0.152312,0.031001
YDR195W,23.551077,19.993149,28.240458,26.534883,25.224689,16.207468,27.736317,28.202806,27.303974,18.066694,25.009449,22.03684
YDR196C,72.744011,79.36171,82.523308,57.504761,53.827297,49.827671,52.610229,58.69883,55.441315,50.84893,57.428799,54.30616
YDR197W,21.604574,17.699989,25.714334,26.581123,23.705885,20.617344,26.197811,24.258911,26.197681,21.069221,25.169376,23.423512
YDR198C,23.836771,20.158909,24.32074,24.400846,21.418631,17.033493,23.388088,26.232773,23.222883,18.513878,23.515213,21.890059
YDR199W,1.963105,2.013869,3.126738,3.452661,3.394116,2.686632,4.39917,4.025359,4.994626,3.65303,1.905819,3.844038
YDR200C,12.276341,10.661216,14.822959,18.467028,17.104504,12.716064,16.400103,17.19611,17.847666,11.41871,13.249681,14.120367
YDR201W,54.380772,52.001629,57.771885,37.926018,30.790703,31.768255,37.506325,46.645565,37.845169,42.391609,46.548512,43.351025
YDR202C,23.966385,24.513491,34.380081,33.073105,35.140739,28.051241,35.026722,36.289886,35.431,28.555811,31.768063,30.179785
YDR203W,14.6339,13.942333,14.739239,14.929471,14.373007,10.930913,10.762404,16.569475,15.389586,12.507343,14.703105,10.200857
YDR204W,52.457821,49.858772,64.406792,58.158596,54.076035,47.898754,53.225224,50.989246,55.865726,50.237057,54.940872,50.883392
YDR205W,37.952538,34.742199,40.935627,33.403816,32.327087,33.219475,34.038017,29.758654,33.129356,30.072464,32.464291,31.964348
YDR206W,47.987396,48.914295,53.284508,41.739059,39.663139,35.755016,43.904499,41.193157,43.842594,40.849514,42.046741,45.1698
YDR207C,11.327626,11.658583,12.362695,13.559448,10.906232,8.051396,12.581141,12.568079,13.149709,10.868847,12.805103,11.6107
YDR208W,29.620045,29.504911,36.770115,47.288029,42.363247,33.500336,40.273136,39.986351,37.392109,36.033607,39.615376,40.164318
YDR209C,271.87973,308.979584,276.944794,125.69268,121.861427,106.245468,151.844894,158.621902,142.094818,146.619019,159.941177,154.234863
YDR210C-C,0.03322,0.027753,0.036544,0.038045,0.040416,0.024841,0.073558,0.100685,0.089688,0.070671,0.066982,0.061734
