Gene ID,Vector_1,Vector_2,Vector_3,EGFP_1,EGFP_2,EGFP_3,PolyI_1,PolyI_2,PolyI_3
YJR067C,7.737465,5.215677,14.262745,3.00376,7.079351,7.17703,6.588132,7.61569,6.995952
YJR068W,22.033947,10.375477,37.100613,11.209624,12.309085,16.894016,22.921593,20.406374,24.460922
YJR069C,46.809647,26.23494,54.889935,16.242981,25.267855,31.196692,36.315788,39.56424,40.91362
YJR070C,44.316593,32.081711,67.846924,35.794155,52.330826,64.018776,57.351017,56.35471,49.025459
YJR071W,10.927335,8.220921,16.960653,6.004251,10.515829,11.321078,12.445618,10.354173,11.163054
YJR072C,18.146496,8.366303,29.56624,8.232592,9.852943,10.938771,32.302544,27.803297,29.657333
YJR073C,13960.65234,17824.15234,5151.870117,17542.70508,13232.79981,10442.18359,10610.49023,10435.49121,9105.364258
YJR074W,111.573753,108.448532,93.019569,77.134781,91.750778,73.856445,80.925957,91.950836,93.145363
YJR075W,53.612724,46.531704,75.703499,60.174774,66.385605,55.101818,67.902573,64.123718,48.972973
YJR076C,13.370343,10.537786,23.048574,10.909799,17.468412,18.649416,25.241928,21.559443,22.78491
YJR077C,672.055542,676.91803,458.778809,1046.047485,896.333862,999.404968,1145.716675,1118.879517,1095.794556
YJR078W,16.639498,16.277742,4.734468,3.456581,5.035845,2.522738,56.29274,63.118866,52.967968
YJR079W,4.16451,2.821813,0.818061,1.110467,1.066205,1.016804,7.597054,9.25948,7.714851
YJR080C,17.432026,7.61088,17.548851,13.612504,20.95294,22.474318,22.535255,23.522097,24.563154
YJR082C,29.840544,10.924109,37.386986,9.326028,11.55663,12.277077,18.188236,19.847916,21.004465
YJR083C,7.222316,7.50456,7.104704,1.909064,3.189628,4.285706,3.707318,3.353554,3.357702
YJR084W,7.995332,6.637141,9.845332,5.711054,8.488643,9.491236,12.018698,11.190493,10.859596
YJR085C,813.255432,668.283508,562.155579,808.440308,756.011658,527.51416,621.618408,601.009827,604.198425
YJR086W,44.590343,22.524179,56.697861,2.855044,2.694897,2.579704,2.986771,4.934734,5.559355
